time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-13 00:00:00+00:00,0,0,42,2
2023-06-14 00:00:00+00:00,0,0,28,4
2023-06-15 00:00:00+00:00,0,0,7,3
2023-06-21 00:00:00+00:00,2,1,14,2
2023-06-22 00:00:00+00:00,2,1,0,0
2023-06-24 00:00:00+00:00,1,1,0,0
2023-06-27 00:00:00+00:00,1,1,2,2
2023-06-28 00:00:00+00:00,0,0,1,1
2023-06-30 00:00:00+00:00,1,1,0,0
2023-07-05 00:00:00+00:00,0,0,120,1
2023-07-10 00:00:00+00:00,0,0,4,1
2023-07-12 00:00:00+00:00,0,0,1,1
2023-07-13 00:00:00+00:00,2,2,147,2
2023-07-14 00:00:00+00:00,0,0,10,2
2023-07-18 00:00:00+00:00,0,0,40,2
2023-07-24 00:00:00+00:00,0,0,4,1
2023-07-27 00:00:00+00:00,1,1,1,1
2023-07-28 00:00:00+00:00,4,2,1,1
2023-07-29 00:00:00+00:00,0,0,16,1
2023-07-30 00:00:00+00:00,0,0,1,1
2023-08-08 00:00:00+00:00,2,1,81,1
2023-08-10 00:00:00+00:00,1,1,0,0
2023-08-14 00:00:00+00:00,0,0,3,1
2023-08-16 00:00:00+00:00,0,0,1,1
2023-08-22 00:00:00+00:00,0,0,16,1
2023-08-25 00:00:00+00:00,1,1,0,0
2023-08-28 00:00:00+00:00,0,0,3,1
2023-09-01 00:00:00+00:00,0,0,15,2
2023-09-04 00:00:00+00:00,1,1,3,2
2023-09-05 00:00:00+00:00,0,0,7,1
2023-09-08 00:00:00+00:00,0,0,1,1
2023-09-12 00:00:00+00:00,0,0,27,2
2023-09-13 00:00:00+00:00,0,0,40,2
2023-09-14 00:00:00+00:00,0,0,198,3
2023-09-19 00:00:00+00:00,0,0,1,1
2023-09-20 00:00:00+00:00,0,0,11,1
2023-09-25 00:00:00+00:00,0,0,19,1
2023-09-29 00:00:00+00:00,0,0,13,1
2023-09-30 00:00:00+00:00,0,0,6,3
2023-10-03 00:00:00+00:00,1,1,0,0
2023-10-06 00:00:00+00:00,0,0,4,1
2023-10-09 00:00:00+00:00,2,1,7,1
2023-10-10 00:00:00+00:00,2,1,0,0
2023-10-12 00:00:00+00:00,1,1,0,0
2023-10-13 00:00:00+00:00,2,1,0,0
2023-10-14 00:00:00+00:00,0,0,4,1
2023-10-17 00:00:00+00:00,0,0,20,1
2023-10-20 00:00:00+00:00,0,0,13,1
2023-10-23 00:00:00+00:00,0,0,16,1
2023-10-24 00:00:00+00:00,0,0,2,2
2023-10-25 00:00:00+00:00,0,0,1,1
2023-10-27 00:00:00+00:00,1,1,0,0
2023-10-30 00:00:00+00:00,0,0,5,1
2023-11-04 00:00:00+00:00,1,1,0,0
2023-11-05 00:00:00+00:00,2,2,0,0
2023-11-06 00:00:00+00:00,0,0,7,1
2023-11-07 00:00:00+00:00,0,0,46,1
2023-11-12 00:00:00+00:00,0,0,4,2
2023-11-15 00:00:00+00:00,0,0,17,1
2023-11-16 00:00:00+00:00,0,0,20,1
2023-11-20 00:00:00+00:00,0,0,2,2
2023-11-22 00:00:00+00:00,1,1,0,0
2023-11-24 00:00:00+00:00,0,0,1,1
2023-11-25 00:00:00+00:00,0,0,1,1
2023-11-30 00:00:00+00:00,0,0,30,2
2023-12-01 00:00:00+00:00,4,1,0,0
2023-12-02 00:00:00+00:00,2,1,0,0
2023-12-06 00:00:00+00:00,0,0,15,2
2023-12-10 00:00:00+00:00,0,0,6,1
2023-12-12 00:00:00+00:00,0,0,2,2
2023-12-13 00:00:00+00:00,2,1,6,2
2023-12-14 00:00:00+00:00,0,0,18,1
2023-12-19 00:00:00+00:00,0,0,8,1
2023-12-20 00:00:00+00:00,0,0,19,2
2023-12-21 00:00:00+00:00,0,0,1,1
2023-12-25 00:00:00+00:00,1,1,0,0
2023-12-28 00:00:00+00:00,2,2,0,0
2023-12-29 00:00:00+00:00,2,1,0,0
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-02 00:00:00+00:00,0,0,1,1
2024-01-03 00:00:00+00:00,0,0,9,1
2024-01-05 00:00:00+00:00,0,0,21,1
2024-01-07 00:00:00+00:00,0,0,37,1
2024-01-08 00:00:00+00:00,0,0,89,1
2024-01-09 00:00:00+00:00,0,0,4,1
2024-01-10 00:00:00+00:00,0,0,66,2
2024-01-11 00:00:00+00:00,0,0,12,1
2024-01-12 00:00:00+00:00,2,2,0,0
2024-01-16 00:00:00+00:00,0,0,15,1
2024-01-17 00:00:00+00:00,0,0,1,1
2024-01-19 00:00:00+00:00,1,1,9,1
2024-01-21 00:00:00+00:00,0,0,7,2
2024-01-23 00:00:00+00:00,0,0,2,2
2024-01-24 00:00:00+00:00,0,0,22,2
2024-01-30 00:00:00+00:00,0,0,5,1
2024-01-31 00:00:00+00:00,0,0,1,1
2024-02-02 00:00:00+00:00,0,0,2,1
2024-02-06 00:00:00+00:00,0,0,3,2
2024-02-09 00:00:00+00:00,0,0,3,1
2024-02-10 00:00:00+00:00,1,1,0,0
2024-02-16 00:00:00+00:00,0,0,2,2
2024-02-19 00:00:00+00:00,0,0,105,4
2024-02-20 00:00:00+00:00,0,0,15,2
2024-02-22 00:00:00+00:00,0,0,4,1
2024-02-23 00:00:00+00:00,0,0,34,1
2024-02-27 00:00:00+00:00,0,0,23,1
2024-02-29 00:00:00+00:00,0,0,6,1
2024-03-02 00:00:00+00:00,0,0,7,2
2024-03-04 00:00:00+00:00,0,0,9,2
2024-03-05 00:00:00+00:00,0,0,8,2
2024-03-07 00:00:00+00:00,0,0,1,1
2024-03-09 00:00:00+00:00,2,2,0,0
2024-03-11 00:00:00+00:00,0,0,1,1
2024-03-18 00:00:00+00:00,0,0,8,1
2024-03-19 00:00:00+00:00,0,0,34,3
2024-03-20 00:00:00+00:00,0,0,21,2
2024-03-23 00:00:00+00:00,0,0,1,1
2024-03-26 00:00:00+00:00,0,0,7,1
2024-03-28 00:00:00+00:00,0,0,9,1
2024-03-29 00:00:00+00:00,0,0,15,1
2024-03-31 00:00:00+00:00,0,0,2,1
2024-04-04 00:00:00+00:00,0,0,30,1
2024-04-16 00:00:00+00:00,0,0,21,2
2024-04-23 00:00:00+00:00,0,0,8,1
2024-04-25 00:00:00+00:00,0,0,1,1
2024-04-29 00:00:00+00:00,1,1,0,0
2024-04-30 00:00:00+00:00,0,0,1,1
2024-05-05 00:00:00+00:00,0,0,17,2
2024-05-06 00:00:00+00:00,0,0,20,2
2024-05-07 00:00:00+00:00,0,0,5,1
2024-05-13 00:00:00+00:00,0,0,24,1
2024-05-15 00:00:00+00:00,0,0,7,1
2024-05-16 00:00:00+00:00,0,0,6,1
2024-05-27 00:00:00+00:00,0,0,67,2
2024-05-30 00:00:00+00:00,0,0,33,1
2024-06-01 00:00:00+00:00,2,1,0,0
2024-06-05 00:00:00+00:00,0,0,11,1
2024-06-06 00:00:00+00:00,0,0,27,1
2024-06-09 00:00:00+00:00,0,0,145,3
2024-06-11 00:00:00+00:00,0,0,1,1
2024-06-12 00:00:00+00:00,1,1,0,0
2024-06-18 00:00:00+00:00,0,0,7,2
2024-06-19 00:00:00+00:00,0,0,1,1
2024-06-20 00:00:00+00:00,0,0,9,3
2024-06-23 00:00:00+00:00,0,0,4,1
2024-06-24 00:00:00+00:00,0,0,5,1
2024-06-26 00:00:00+00:00,0,0,14,2
2024-07-04 00:00:00+00:00,2,1,0,0
2024-07-08 00:00:00+00:00,0,0,1,1
2024-07-09 00:00:00+00:00,0,0,6,2
2024-07-11 00:00:00+00:00,0,0,41,1
2024-07-13 00:00:00+00:00,0,0,1,1
2024-07-18 00:00:00+00:00,0,0,15,1
2024-07-19 00:00:00+00:00,0,0,1,1
2024-07-24 00:00:00+00:00,0,0,44,1
2024-07-27 00:00:00+00:00,0,0,1,1
2024-07-30 00:00:00+00:00,0,0,18,2
2024-07-31 00:00:00+00:00,0,0,17,2
2024-08-01 00:00:00+00:00,0,0,15,1
2024-08-05 00:00:00+00:00,0,0,1,1
2024-08-06 00:00:00+00:00,0,0,17,1
2024-08-20 00:00:00+00:00,0,0,29,1
2024-08-25 00:00:00+00:00,0,0,8,1
2024-08-27 00:00:00+00:00,0,0,5,1
2024-09-01 00:00:00+00:00,0,0,9,2
2024-09-05 00:00:00+00:00,0,0,43,2
2024-09-10 00:00:00+00:00,1,1,1,1
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-26 00:00:00+00:00,0,0,3,1
2024-10-01 00:00:00+00:00,0,0,1,1
2024-10-07 00:00:00+00:00,0,0,4,1
2024-10-08 00:00:00+00:00,0,0,8,2
2024-10-09 00:00:00+00:00,0,0,1,1
2024-10-11 00:00:00+00:00,0,0,7,2
2024-10-12 00:00:00+00:00,2,2,0,0
2024-10-14 00:00:00+00:00,0,0,4,3
2024-10-15 00:00:00+00:00,1,1,0,0
2024-10-17 00:00:00+00:00,2,2,1,1
2024-10-19 00:00:00+00:00,1,1,0,0
2024-10-22 00:00:00+00:00,0,0,7,2
2024-10-23 00:00:00+00:00,0,0,5,1
2024-11-04 00:00:00+00:00,0,0,3,2
2024-11-05 00:00:00+00:00,0,0,15,3
2024-11-06 00:00:00+00:00,0,0,6,2
2024-11-07 00:00:00+00:00,0,0,4,2
2024-11-12 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,0,0,13,4
2024-11-16 00:00:00+00:00,0,0,7,1
2024-11-18 00:00:00+00:00,0,0,7,2
2024-11-19 00:00:00+00:00,0,0,5,1
2024-11-20 00:00:00+00:00,0,0,23,1
2024-11-21 00:00:00+00:00,0,0,2,1
2024-11-22 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,0,0,4,3
2024-11-26 00:00:00+00:00,0,0,8,1
2024-11-28 00:00:00+00:00,0,0,5,1
2024-12-05 00:00:00+00:00,0,0,6,2
2024-12-06 00:00:00+00:00,0,0,5,1
2024-12-09 00:00:00+00:00,0,0,12,1
2024-12-10 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,0,0,1,1
2024-12-20 00:00:00+00:00,0,0,19,1
2024-12-22 00:00:00+00:00,0,0,1,1
2024-12-23 00:00:00+00:00,0,0,4,1
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-02 00:00:00+00:00,0,0,4,1
2025-01-09 00:00:00+00:00,1,1,3,1
2025-01-14 00:00:00+00:00,0,0,3,1
2025-01-15 00:00:00+00:00,0,0,9,1
2025-01-17 00:00:00+00:00,0,0,9,3
2025-01-23 00:00:00+00:00,0,0,14,2
2025-01-24 00:00:00+00:00,0,0,19,1
2025-01-25 00:00:00+00:00,0,0,1,1
2025-01-27 00:00:00+00:00,0,0,2,1
2025-01-30 00:00:00+00:00,0,0,3,1
2025-01-31 00:00:00+00:00,0,0,7,2
2025-02-01 00:00:00+00:00,0,0,4,1
2025-02-04 00:00:00+00:00,0,0,1,1
2025-02-05 00:00:00+00:00,0,0,2,1
2025-02-06 00:00:00+00:00,1,1,5,2
2025-02-11 00:00:00+00:00,1,1,3,1
2025-02-12 00:00:00+00:00,0,0,1,1
2025-02-17 00:00:00+00:00,0,0,6,2
2025-02-21 00:00:00+00:00,0,0,2,2
2025-02-23 00:00:00+00:00,0,0,2,1
2025-02-28 00:00:00+00:00,1,1,1,1
2025-03-01 00:00:00+00:00,0,0,5,1
2025-03-03 00:00:00+00:00,0,0,1,1
2025-03-04 00:00:00+00:00,0,0,1,1
2025-03-05 00:00:00+00:00,0,0,1,1
2025-03-07 00:00:00+00:00,0,0,3,1
2025-03-09 00:00:00+00:00,2,2,0,0
2025-03-12 00:00:00+00:00,0,0,8,2
2025-03-13 00:00:00+00:00,0,0,1,1
2025-03-14 00:00:00+00:00,0,0,1,1
2025-03-16 00:00:00+00:00,0,0,3,1
2025-03-17 00:00:00+00:00,0,0,4,1
2025-03-18 00:00:00+00:00,0,0,12,3
2025-03-19 00:00:00+00:00,0,0,4,1
2025-03-20 00:00:00+00:00,0,0,5,1
2025-03-21 00:00:00+00:00,0,0,3,1
2025-03-22 00:00:00+00:00,0,0,1,1
2025-03-25 00:00:00+00:00,0,0,8,3
2025-03-26 00:00:00+00:00,0,0,1,1
2025-03-30 00:00:00+00:00,0,0,4,1
2025-04-02 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,0,0,4,3
2025-04-04 00:00:00+00:00,2,2,0,0
2025-04-05 00:00:00+00:00,1,1,0,0
2025-04-11 00:00:00+00:00,1,1,0,0
2025-04-15 00:00:00+00:00,0,0,5,2
2025-04-20 00:00:00+00:00,1,1,0,0
2025-04-28 00:00:00+00:00,0,0,1,1
2025-04-30 00:00:00+00:00,0,0,7,2
2025-05-06 00:00:00+00:00,0,0,3,1
2025-05-07 00:00:00+00:00,0,0,1,1
2025-05-08 00:00:00+00:00,0,0,4,1
2025-05-11 00:00:00+00:00,0,0,5,1
2025-05-12 00:00:00+00:00,1,1,4,2
2025-05-19 00:00:00+00:00,1,1,0,0
2025-05-26 00:00:00+00:00,0,0,3,2
2025-05-30 00:00:00+00:00,0,0,1,1
2025-05-31 00:00:00+00:00,0,0,4,2
2025-06-01 00:00:00+00:00,0,0,192,3
2025-06-03 00:00:00+00:00,0,0,1,1
2025-06-04 00:00:00+00:00,0,0,3,1
2025-06-05 00:00:00+00:00,1,1,5,2
2025-06-06 00:00:00+00:00,0,0,40,1
2025-06-10 00:00:00+00:00,0,0,4,1
2025-06-16 00:00:00+00:00,0,0,2,1
2025-06-17 00:00:00+00:00,2,2,3,1
2025-06-18 00:00:00+00:00,1,1,0,0
2025-06-23 00:00:00+00:00,0,0,7,1
2025-06-27 00:00:00+00:00,0,0,5,1
2025-07-04 00:00:00+00:00,1,1,0,0
2025-07-05 00:00:00+00:00,0,0,1,1
2025-07-17 00:00:00+00:00,0,0,11,2
2025-07-23 00:00:00+00:00,1,1,1,1
2025-07-25 00:00:00+00:00,2,1,0,0
2025-07-26 00:00:00+00:00,11,9,0,0
2025-08-07 00:00:00+00:00,1,1,0,0
2025-08-09 00:00:00+00:00,0,0,2,1
2025-08-16 00:00:00+00:00,1,1,0,0
2025-08-17 00:00:00+00:00,0,0,18,3
2025-08-18 00:00:00+00:00,0,0,14,5
2025-08-19 00:00:00+00:00,0,0,2,1
2025-08-20 00:00:00+00:00,0,0,7,2
2025-08-22 00:00:00+00:00,0,0,1,1
2025-08-23 00:00:00+00:00,0,0,1,1
2025-08-24 00:00:00+00:00,1,1,0,0
2025-08-25 00:00:00+00:00,2,2,2,1
2025-08-26 00:00:00+00:00,0,0,1,1
2025-08-28 00:00:00+00:00,0,0,2,2
2025-08-29 00:00:00+00:00,0,0,1,1
2025-09-01 00:00:00+00:00,2,2,8,2
2025-09-02 00:00:00+00:00,0,0,3,1
2025-09-04 00:00:00+00:00,0,0,3,2
2025-09-07 00:00:00+00:00,0,0,2,2
2025-09-08 00:00:00+00:00,0,0,5,2
2025-09-09 00:00:00+00:00,0,0,1,1
2025-09-11 00:00:00+00:00,0,0,16,2
2025-09-13 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,0,0,5,1
2025-09-16 00:00:00+00:00,1,1,17,1
2025-09-17 00:00:00+00:00,0,0,26,4
2025-09-18 00:00:00+00:00,0,0,1,1
2025-09-19 00:00:00+00:00,0,0,3,1
2025-09-20 00:00:00+00:00,4,3,1,1
2025-09-28 00:00:00+00:00,0,0,2,2
2025-09-30 00:00:00+00:00,0,0,2,1
2025-10-01 00:00:00+00:00,0,0,5,1
2025-10-02 00:00:00+00:00,1,1,2,1
2025-10-03 00:00:00+00:00,1,1,3,1
2025-10-04 00:00:00+00:00,0,0,5,2
2025-10-05 00:00:00+00:00,0,0,10,3
2025-10-07 00:00:00+00:00,1,1,0,0
2025-10-08 00:00:00+00:00,0,0,9,2
2025-10-09 00:00:00+00:00,1,1,1,1
2025-10-10 00:00:00+00:00,0,0,4,1
2025-10-13 00:00:00+00:00,1,1,1,1
2025-10-15 00:00:00+00:00,0,0,1,1
2025-10-16 00:00:00+00:00,1,1,1,1
2025-10-18 00:00:00+00:00,2,2,0,0
2025-10-20 00:00:00+00:00,1,1,4,1
2025-10-21 00:00:00+00:00,1,1,2,1
2025-10-22 00:00:00+00:00,1,1,16,1
2025-10-23 00:00:00+00:00,0,0,10,4
2025-10-26 00:00:00+00:00,0,0,9,1
2025-10-27 00:00:00+00:00,0,0,2,1
2025-10-28 00:00:00+00:00,2,2,7,1
2025-10-29 00:00:00+00:00,0,0,1,1
2025-10-30 00:00:00+00:00,0,0,1,1
2025-10-31 00:00:00+00:00,0,0,1,1
2025-11-01 00:00:00+00:00,1,1,0,0
2025-11-03 00:00:00+00:00,0,0,16,2
2025-11-04 00:00:00+00:00,1,1,22,2
2025-11-05 00:00:00+00:00,2,1,36,2
2025-11-06 00:00:00+00:00,0,0,15,3
2025-11-07 00:00:00+00:00,0,0,4,2
2025-11-08 00:00:00+00:00,0,0,5,2
2025-11-09 00:00:00+00:00,0,0,9,1
2025-11-10 00:00:00+00:00,0,0,15,3
2025-11-11 00:00:00+00:00,0,0,1,1
2025-11-12 00:00:00+00:00,0,0,6,1
2025-11-14 00:00:00+00:00,0,0,14,1
2025-11-17 00:00:00+00:00,0,0,1,1
2025-11-21 00:00:00+00:00,1,1,0,0
2025-11-22 00:00:00+00:00,0,0,1,1
2025-11-24 00:00:00+00:00,1,1,10,3
2025-11-25 00:00:00+00:00,1,1,0,0
2025-11-27 00:00:00+00:00,1,1,0,0
2025-11-29 00:00:00+00:00,0,0,1,1
2025-11-30 00:00:00+00:00,0,0,69,1
2025-12-01 00:00:00+00:00,0,0,1,1
2025-12-03 00:00:00+00:00,0,0,9,1
2025-12-05 00:00:00+00:00,0,0,1,1
2025-12-07 00:00:00+00:00,1,1,0,0
2025-12-08 00:00:00+00:00,1,1,0,0
2025-12-09 00:00:00+00:00,1,1,17,2
2025-12-10 00:00:00+00:00,0,0,1,1
2025-12-12 00:00:00+00:00,2,2,0,0
2025-12-13 00:00:00+00:00,0,0,1,1
2025-12-14 00:00:00+00:00,1,1,0,0
2025-12-17 00:00:00+00:00,1,1,0,0
2025-12-18 00:00:00+00:00,0,0,0,0
2025-12-19 00:00:00+00:00,0,0,1,1
2025-12-20 00:00:00+00:00,0,0,0,0
2025-12-21 00:00:00+00:00,0,0,0,0
2025-12-22 00:00:00+00:00,0,0,0,0
2025-12-23 00:00:00+00:00,0,0,0,0
2025-12-24 00:00:00+00:00,0,0,0,0
2025-12-25 00:00:00+00:00,0,0,0,0
2025-12-26 00:00:00+00:00,0,0,0,0
2025-12-27 00:00:00+00:00,0,0,0,0
2025-12-28 00:00:00+00:00,0,0,0,0
2025-12-29 00:00:00+00:00,0,0,0,0
2025-12-30 00:00:00+00:00,0,0,0,0
2025-12-31 00:00:00+00:00,3,3,0,0
2026-01-01 00:00:00+00:00,0,0,0,0
2026-01-02 00:00:00+00:00,0,0,0,0
2026-01-03 00:00:00+00:00,1,1,0,0
2026-01-04 00:00:00+00:00,0,0,0,0
2026-01-05 00:00:00+00:00,0,0,1,1
2026-01-06 00:00:00+00:00,0,0,0,0
2026-01-07 00:00:00+00:00,0,0,0,0
2026-01-08 00:00:00+00:00,0,0,1,1
2026-01-09 00:00:00+00:00,0,0,0,0
2026-01-10 00:00:00+00:00,1,1,1,1
2026-01-11 00:00:00+00:00,0,0,1,1
2026-01-12 00:00:00+00:00,1,1,0,0
2026-01-13 00:00:00+00:00,0,0,0,0
2026-01-14 00:00:00+00:00,0,0,0,0
2026-01-15 00:00:00+00:00,1,1,0,0
2026-01-16 00:00:00+00:00,0,0,0,0
2026-01-17 00:00:00+00:00,0,0,5,1
2026-01-18 00:00:00+00:00,0,0,0,0
2026-01-19 00:00:00+00:00,0,0,0,0
2026-01-20 00:00:00+00:00,0,0,1,1
2026-01-21 00:00:00+00:00,0,0,1,1
2026-01-22 00:00:00+00:00,0,0,5,2
2026-01-23 00:00:00+00:00,0,0,0,0
2026-01-24 00:00:00+00:00,0,0,0,0
2026-01-25 00:00:00+00:00,1,1,0,0
2026-01-26 00:00:00+00:00,0,0,0,0
2026-01-27 00:00:00+00:00,0,0,4,1
2026-01-28 00:00:00+00:00,0,0,4,1
2026-01-29 00:00:00+00:00,1,1,8,2
2026-01-30 00:00:00+00:00,0,0,0,0
2026-01-31 00:00:00+00:00,1,1,0,0
2026-02-01 00:00:00+00:00,0,0,0,0
2026-02-02 00:00:00+00:00,0,0,0,0
2026-02-03 00:00:00+00:00,1,1,0,0
2026-02-04 00:00:00+00:00,0,0,0,0
2026-02-05 00:00:00+00:00,0,0,0,0
2026-02-06 00:00:00+00:00,0,0,3,1
2026-02-07 00:00:00+00:00,0,0,0,0
2026-02-08 00:00:00+00:00,0,0,1,1
2026-02-09 00:00:00+00:00,0,0,0,0
2026-02-10 00:00:00+00:00,0,0,0,0
2026-02-11 00:00:00+00:00,0,0,0,0
2026-02-12 00:00:00+00:00,0,0,0,0
2026-02-13 00:00:00+00:00,0,0,0,0
2026-02-14 00:00:00+00:00,0,0,1,1
